Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.244	21	0	108	-191.464
0.244	151	0	100	-190.705
0.245	11	0	103	-220.774
0.245	21	0	108	-191.464
0.245	41	0	102	-190.105
0.245	41	0	107	-219.588
0.245	61	0	101	-187
0.245	61	0	106	-228.194
0.245	67	0	109	-176.047
0.245	85	0	105	-196.679
0.245	111	0	104	-192.588
0.245	151	0	100	-190.705
0.248	61	0	101	-187
0.248	61	0	106	-228.194
0.248071	61	0	101	-187
0.248071	61	0	106	-228.194
0.25	11	0	103	-226.449
0.25	21	0	108	-190.614
0.25	41	0	102	-193.282
0.25	41	0	107	-214.52
0.25	61	0	101	-191.122
0.25	61	0	106	-212.008
0.25	67	0	109	-180.197
0.25	85	0	105	-196.001
0.25	111	0	104	-195.32
0.25	151	0	100	-190.902
0.253	11	0	103	-226.449
0.253	21	0	108	-190.614
0.253	41	0	102	-193.282
0.253	41	0	107	-214.52
0.253	61	0	101	-191.122
0.253	61	0	106	-212.008
0.253	67	0	109	-180.197
0.253	85	0	105	-196.001
0.253	111	0	104	-195.32
0.253	151	0	100	-190.902
0.253071	11	0	103	-226.449
0.253071	21	0	108	-190.614
0.253071	41	0	102	-193.282
0.253071	41	0	107	-214.52
0.253071	61	0	101	-191.122
0.253071	61	0	106	-212.008
0.253071	67	0	109	-180.197
0.253071	85	0	105	-196.001
0.253071	111	0	104	-195.32
0.253071	151	0	100	-190.902
0.253214	41	0	102	-193.282
0.253214	41	0	107	-214.52
0.253286	61	0	101	-191.122
0.253286	61	0	106	-212.008
0.255	11	0	103	-226.449
0.255	21	0	108	-190.614
0.255	41	0	102	-193.282
0.255	41	0	107	-214.52
0.255	61	0	101	-191.122
0.255	61	0	106	-212.008
0.255	67	0	109	-180.197
0.255	85	0	105	-196.001
0.255	111	0	104	-195.32
0.255	151	0	100	-190.902
0.258	11	0	103	-226.449
0.258071	11	0	103	-226.449
0.26	11	0	103	-226.449
0.26	21	0	108	-190.614
0.26	41	0	102	-193.282
0.26	41	0	107	-214.52
0.26	61	0	101	-191.122
0.26	61	0	106	-212.008
0.26	67	0	109	-180.197
0.26	85	0	105	-196.001
0.26	111	0	104	-195.32
0.26	151	0	100	-190.902
0.263	11	0	103	-226.449
0.263	21	0	108	-190.614
0.263	41	0	102	-193.282
0.263	41	0	107	-214.52
0.263	61	0	101	-191.122
0.263	61	0	106	-212.008
0.263	67	0	109	-180.197
0.263	85	0	105	-196.001
0.263	111	0	104	-195.32
0.263	151	0	100	-190.902
0.263071	11	0	103	-226.449
0.263071	21	0	108	-190.614
0.263071	41	0	102	-193.282
0.263071	41	0	107	-214.52
0.263071	61	0	101	-191.122
0.263071	61	0	106	-212.008
0.263071	67	0	109	-180.197
0.263071	85	0	105	-196.001
0.263071	111	0	104	-195.32
0.263071	151	0	100	-190.902
0.263143	41	0	102	-193.282
0.263143	41	0	107	-214.52
0.263143	61	0	101	-191.122
0.263143	61	0	106	-212.008
0.265	11	0	103	-226.449
0.265	21	0	108	-190.614
0.265	41	0	102	-193.282
0.265	41	0	107	-214.52
0.265	61	0	101	-191.122
0.265	61	0	106	-212.008
0.265	67	0	109	-180.197
0.265	85	0	105	-196.001
0.265	111	0	104	-195.32
0.265	151	0	100	-190.902
0.266	11	0	103	-226.449
0.268	41	0	102	-193.282
0.268	41	0	107	-214.52
0.268	61	0	101	-191.122
0.268	61	0	106	-212.008
0.268071	41	0	102	-193.282
0.268071	41	0	107	-214.52
0.268071	61	0	101	-191.122
0.268071	61	0	106	-212.008
0.27	11	0	103	-226.449
0.27	21	0	108	-190.614
0.27	41	0	102	-193.282
0.27	41	0	107	-214.52
0.27	61	0	101	-191.122
0.27	61	0	106	-212.008
0.27	67	0	109	-180.197
0.27	85	0	105	-196.001
0.27	111	0	104	-195.32
0.27	151	0	100	-190.902
0.272	61	0	101	-191.122
0.272	61	0	106	-212.008
0.273	11	0	103	-226.449
0.273	21	0	108	-190.614
0.273	41	0	102	-193.282
0.273	41	0	107	-214.52
0.273	61	0	101	-191.122
0.273	61	0	106	-212.008
0.273	67	0	109	-180.197
0.273	85	0	105	-196.001
0.273	111	0	104	-195.32
0.273	151	0	100	-190.902
0.273071	11	0	103	-226.449
0.273071	21	0	108	-190.614
0.273071	41	0	102	-193.282
0.273071	41	0	107	-214.52
0.273071	61	0	101	-191.122
0.273071	61	0	106	-212.008
0.273071	67	0	109	-180.197
0.273071	85	0	105	-196.001
0.273071	111	0	104	-195.32
0.273071	151	0	100	-190.902
0.273143	41	0	102	-193.282
0.273143	41	0	107	-214.52
0.273143	61	0	101	-191.122
0.273143	61	0	106	-212.008
0.275	11	0	103	-226.449
0.275	21	0	108	-190.614
0.275	41	0	102	-193.282
0.275	41	0	107	-214.52
0.275	61	0	101	-191.122
0.275	61	0	106	-212.008
0.275	67	0	109	-180.197
0.275	85	0	105	-196.001
0.275	111	0	104	-195.32
0.275	151	0	100	-190.902
0.28	11	0	103	-226.449
0.28	21	0	108	-190.614
0.28	41	0	102	-193.282
0.28	41	0	107	-214.52
0.28	61	0	101	-191.122
0.28	61	0	106	-212.008
0.28	67	0	109	-180.197
0.28	85	0	105	-196.001
0.28	111	0	104	-195.32
0.28	151	0	100	-190.902
0.283	11	0	103	-226.449
0.283	21	0	108	-190.614
0.283	41	0	102	-193.282
0.283	41	0	107	-214.52
0.283	61	0	101	-191.122
0.283	61	0	106	-212.008
0.283	67	0	109	-180.197
0.283	85	0	105	-196.001
0.283	111	0	104	-195.32
0.283	151	0	100	-190.902
0.283071	11	0	103	-226.449
0.283071	21	0	108	-190.614
0.283071	41	0	102	-193.282
0.283071	41	0	107	-214.52
0.283071	61	0	101	-191.122
0.283071	61	0	106	-212.008
0.283071	67	0	109	-180.197
0.283071	85	0	105	-196.001
0.283071	111	0	104	-195.32
0.283071	151	0	100	-190.902
0.283143	41	0	102	-193.282
0.283143	41	0	107	-214.52
0.283143	61	0	101	-191.122
0.283143	61	0	106	-212.008
0.285	11	0	103	-226.449
0.285	21	0	108	-190.614
0.285	41	0	102	-193.282
0.285	41	0	107	-214.52
0.285	61	0	101	-191.122
0.285	61	0	106	-212.008
0.285	67	0	109	-180.197
0.285	85	0	105	-196.001
0.285	111	0	104	-195.32
0.285	151	0	100	-190.902
0.29	11	0	103	-226.449
0.29	21	0	108	-190.614
0.29	41	0	102	-193.282
0.29	41	0	107	-214.52
0.29	61	0	101	-191.122
0.29	61	0	106	-212.008
0.29	67	0	109	-180.197
0.29	85	0	105	-196.001
0.29	111	0	104	-195.32
0.29	151	0	100	-190.902
0.293	11	0	103	-226.449
0.293	21	0	108	-190.614
0.293	41	0	102	-193.282
0.293	41	0	107	-214.52
0.293	61	0	101	-191.122
0.293	61	0	106	-212.008
0.293	67	0	109	-180.197
0.293	85	0	105	-196.001
0.293	111	0	104	-195.32
0.293	151	0	100	-190.902
0.293071	11	0	103	-226.449
0.293071	21	0	108	-190.614
0.293071	41	0	102	-193.282
0.293071	41	0	107	-214.52
0.293071	61	0	101	-191.122
0.293071	61	0	106	-212.008
0.293071	67	0	109	-180.197
0.293071	85	0	105	-196.001
0.293071	111	0	104	-195.32
0.293071	151	0	100	-190.902
0.293143	41	0	102	-193.282
0.293143	41	0	107	-214.52
0.293143	61	0	101	-191.122
0.293143	61	0	106	-212.008
0.295	11	0	103	-226.449
0.295	21	0	108	-190.614
0.295	41	0	102	-193.282
0.295	41	0	107	-214.52
0.295	61	0	101	-191.122
0.295	61	0	106	-212.008
0.295	67	0	109	-180.197
0.295	85	0	105	-196.001
0.295	111	0	104	-195.32
0.295	151	0	100	-190.902
0.3	11	0	103	-236.718
0.3	21	0	108	-188.04
0.3	41	0	102	-192.313
0.3	41	0	107	-230.633
0.3	61	0	101	-187.5
0.3	61	0	106	-217.452
0.3	67	0	109	-177.09
0.3	85	0	105	-196.667
0.3	111	0	104	-192.927
0.3	151	0	100	-196.477
0.301	111	0	104	-192.927
0.302	41	0	102	-192.313
0.302	41	0	107	-230.633
0.305	11	0	103	-236.718
0.305	21	0	108	-188.04
0.305	41	0	102	-192.313
0.305	41	0	107	-230.633
0.305	61	0	101	-187.5
0.305	61	0	106	-217.452
0.305	67	0	109	-177.09
